aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,computed_aqi
5,1815.8,9.39,42.5,0.14,13.83,131.25,248.42,15.07,308.87
5,9506.23,164.51,100.08,0.0,160.22,667.51,898.17,135.78,127.23
5,13031.01,236.03,113.79,0.0,123.98,922.13,1171.47,90.18,133.79
5,1401.9,0.6,43.53,20.03,11.09,106.37,195.68,24.07,253.47
5,1214.98,0.0,25.36,74.39,17.41,179.46,236.96,25.84,345.86
5,1001.36,0.0,28.1,50.78,12.04,89.78,129.89,24.07,199.25
5,1508.71,0.01,39.76,30.04,12.4,126.71,190.83,24.32,305.38
5,3898.62,16.76,60.32,0.02,34.81,383.19,542.75,31.41,453.56
5,947.95,0.27,22.96,9.03,9.3,68.22,96.41,5.13,125.65
5,1028.06,5.76,27.42,0.14,10.37,53.24,97.02,6.27,97.02
5,1401.9,0.1,37.36,15.91,13.83,83.47,119.53,6.84,177.71
5,1174.93,0.0,31.19,45.06,13.95,94.6,136.43,22.55,213.29
5,947.95,0.0,29.47,43.27,12.4,69.14,125.0,22.29,128.79
5,17089.84,418.43,109.67,0.0,115.4,1171.57,1438.15,60.8,129.67
5,2216.34,4.25,65.8,0.54,24.8,129.97,180.78,13.05,307.88
5,1281.74,0.57,30.85,9.92,9.66,104.78,150.95,4.31,248.04
5,1028.06,0.0,27.42,40.05,9.66,107.56,139.9,6.9,257.53
5,1482.01,0.11,41.13,18.24,11.09,109.31,172.67,13.81,263.51
5,1094.82,0.0,28.45,53.64,10.25,89.64,125.28,19.51,198.77
5,1575.47,0.86,44.55,7.15,10.01,113.26,176.33,10.64,276.99
5,1375.2,0.0,29.82,67.95,10.73,134.42,171.85,20.27,311.3
5,1241.68,0.0,16.28,108.72,13.23,135.97,163.03,24.57,312.49
5,4753.11,72.42,74.71,0.0,62.94,345.21,537.28,81.06,438.46
5,2429.96,0.0,54.84,54.36,30.52,272.11,342.32,12.92,409.39
5,2696.99,0.0,59.63,50.07,30.99,325.31,388.36,13.05,430.54
5,4219.06,43.81,79.51,0.02,29.8,326.7,423.43,38.0,431.1
5,4806.52,40.23,119.27,0.0,58.65,444.65,643.47,65.86,477.99
5,3898.62,43.81,65.8,0.0,19.07,267.35,387.03,33.94,407.5
5,1762.39,0.0,13.71,141.62,11.56,173.63,201.62,25.84,341.39
5,2136.23,0.0,37.7,43.63,10.01,202.51,259.17,21.28,363.55
5,2403.26,0.0,35.3,67.23,13.71,211.51,257.53,29.64,370.46
5,3738.4,1.79,86.37,3.93,17.88,349.67,487.08,24.32,481.46
5,4486.08,15.65,78.83,0.04,24.56,414.74,582.95,40.02,466.1
5,2910.61,20.79,51.41,0.0,14.54,266.75,407.37,23.31,407.26
5,2616.88,1.29,62.38,7.96,13.11,234.79,313.12,29.89,388.33
5,2109.53,0.0,37.7,55.79,10.73,202.88,247.91,27.36,363.84
5,2883.91,8.61,68.55,0.51,13.23,231.64,316.0,30.4,385.91
5,2029.42,1.44,56.21,5.5,13.11,216.01,290.47,29.64,373.91
5,2323.15,5.09,58.26,1.04,12.87,244.25,337.08,25.08,395.59
5,7156.37,88.51,97.33,0.0,31.95,682.44,978.15,36.98,117.33
5,5180.36,40.68,171.36,0.0,122.07,547.64,766.34,168.2,191.36
5,2990.72,38.0,55.52,0.0,18.6,246.58,375.02,23.81,397.38
